codigo_completo,codigo_departamento,codigo_municipio,nombre_departamento,nombre_municipio
05001,05,001,Antioquia,Medellín
05002,05,002,Antioquia,Abejorral
05004,05,004,Antioquia,Abriaquí
05021,05,021,Antioquia,Alejandría
05030,05,030,Antioquia,Ga Amaga
05031,05,031,Antioquia,Amalfi
05034,05,034,Antioquia,Andes
05036,05,036,Antioquia,Angelopolis
05038,05,038,Antioquia,Angostura
05040,05,040,Antioquia,Anorí
05042,05,042,Antioquia,Santafé de Antioquia
05044,05,044,Antioquia,Anza
05045,05,045,Antioquia,Apartadó
05051,05,051,Antioquia,Arboletes
05055,05,055,Antioquia,Argelia
05059,05,059,Antioquia,Armenia
05079,05,079,Antioquia,Barbosa
05086,05,086,Antioquia,Belmira
05088,05,088,Antioquia,Bello
05091,05,091,Antioquia,Betania
05093,05,093,Antioquia,Betulia
05101,05,101,Antioquia,Ciudad Bolívar
05107,05,107,Antioquia,Briceño
05113,05,113,Antioquia,Buriticá
05120,05,120,Antioquia,Cáceres
05125,05,125,Antioquia,Caicedo
05129,05,129,Antioquia,Caldas
05134,05,134,Antioquia,Campamento
05138,05,138,Antioquia,Cañasgordas
05142,05,142,Antioquia,Caracolí
05145,05,145,Antioquia,Caramanta
05147,05,147,Antioquia,Carepa
05148,05,148,Antioquia,Carmen de Viboral
05150,05,150,Antioquia,Carolina
05154,05,154,Antioquia,Caucasia
05172,05,172,Antioquia,Chigorodó
05190,05,190,Antioquia,Cisneros
05197,05,197,Antioquia,Cocorná
05206,05,206,Antioquia,Concepción
05209,05,209,Antioquia,Concordia
05212,05,212,Antioquia,Copacabana
05234,05,234,Antioquia,Dabeiba
05237,05,237,Antioquia,Don Matias
05240,05,240,Antioquia,Ebéjico
05250,05,250,Antioquia,El Bagre
05264,05,264,Antioquia,Entrerrios
05266,05,266,Antioquia,Envigado
05282,05,282,Antioquia,Fredonia
05284,05,284,Antioquia,Frontino
05306,05,306,Antioquia,Giraldo
05308,05,308,Antioquia,Girardota
05310,05,310,Antioquia,Gómez Plata
05313,05,313,Antioquia,Granada
05315,05,315,Antioquia,Guadalupe
05318,05,318,Antioquia,Guarne
05321,05,321,Antioquia,Guatape
05347,05,347,Antioquia,Heliconia
05353,05,353,Antioquia,Hispania
05360,05,360,Antioquia,Itagui
05361,05,361,Antioquia,Ituango
05364,05,364,Antioquia,Jardín
05368,05,368,Antioquia,Jericó
05376,05,376,Antioquia,La Ceja
05380,05,380,Antioquia,La Estrella
05390,05,390,Antioquia,La Pintada
05400,05,400,Antioquia,La Unión
05411,05,411,Antioquia,Liborina
05425,05,425,Antioquia,Maceo
05440,05,440,Antioquia,Marinilla
05467,05,467,Antioquia,Montebello
05475,05,475,Antioquia,Murindó
05480,05,480,Antioquia,Mutata
05483,05,483,Antioquia,Nariño
05490,05,490,Antioquia,Necoclí
05495,05,495,Antioquia,Nechí
05501,05,501,Antioquia,Olaya
05541,05,541,Antioquia,Peñol
05543,05,543,Antioquia,Peque
05576,05,576,Antioquia,Pueblorrico
05579,05,579,Antioquia,Puerto Berrio
05585,05,585,Antioquia,Puerto Nare
05591,05,591,Antioquia,Puerto Triunfo
05604,05,604,Antioquia,Remedios
05607,05,607,Antioquia,Retiro
05615,05,615,Antioquia,Rionegro
05628,05,628,Antioquia,Sabanalarga
05631,05,631,Antioquia,Sabaneta
05642,05,642,Antioquia,Salgar
05647,05,647,Antioquia,San Andrés
05649,05,649,Antioquia,San Carlos
05652,05,652,Antioquia,San Francisco
05656,05,656,Antioquia,San Jerónimo
05658,05,658,Antioquia,San José de la Montaña
05659,05,659,Antioquia,San Juan de Uraba
05660,05,660,Antioquia,San Luis
05664,05,664,Antioquia,San Pedro
05665,05,665,Antioquia,San Pedro de Uraba
05667,05,667,Antioquia,San Rafael
05670,05,670,Antioquia,San Roque
05674,05,674,Antioquia,San Vicente
05679,05,679,Antioquia,Santa Barbara
05686,05,686,Antioquia,Santa Rosa de Osos
05690,05,690,Antioquia,Santo Domingo
05697,05,697,Antioquia,Santuario
05736,05,736,Antioquia,Segovia
05756,05,756,Antioquia,Sonson
05761,05,761,Antioquia,Sopetran
05789,05,789,Antioquia,Támesis
05790,05,790,Antioquia,Tarazá
05792,05,792,Antioquia,Tarso
05809,05,809,Antioquia,Titiribí
05819,05,819,Antioquia,Toledo
05837,05,837,Antioquia,Turbo
05842,05,842,Antioquia,Uramita
05847,05,847,Antioquia,Urrao
05854,05,854,Antioquia,Valdivia
05856,05,856,Antioquia,Valparaiso
05858,05,858,Antioquia,Vegachí
05861,05,861,Antioquia,Venecia
05873,05,873,Antioquia,Vigía del Fuerte
05885,05,885,Antioquia,Yalí
05887,05,887,Antioquia,Yarumal
05890,05,890,Antioquia,Yolombó
05893,05,893,Antioquia,Yondó
05895,05,895,Antioquia,Zaragoza
08001,08,001,Atlántico,Barranquilla
08078,08,078,Atlántico,Baranoa
08137,08,137,Atlántico,Campo de la Cruz
08141,08,141,Atlántico,Candelaria
08296,08,296,Atlántico,Galapa
08372,08,372,Atlántico,Juan de Acosta
08421,08,421,Atlántico,Luruaco
08433,08,433,Atlántico,Malambo
08436,08,436,Atlántico,Ti Manati
08520,08,520,Atlántico,Palmar de Varela
08549,08,549,Atlántico,Piojó
08558,08,558,Atlántico,Polonuevo
08560,08,560,Atlántico,Ponedera
08573,08,573,Atlántico,Puerto Colombia
08606,08,606,Atlántico,Repelon
08634,08,634,Atlántico,Sabanagrande
08638,08,638,Atlántico,Sabanalarga
08675,08,675,Atlántico,Santa Lucia
08685,08,685,Atlántico,Santo Tomas
08758,08,758,Atlántico,Soledad
08770,08,770,Atlántico,Suan
08832,08,832,Atlántico,Tubara
08849,08,849,Atlántico,Ri Usiacuri
11001,11,001,Bogotá D.C.,Bogota D.C.
13001,13,001,Bolívar,Cartagena
13006,13,006,Bolívar,Achí
13030,13,030,Bolívar,Altos del Rosario
13042,13,042,Bolívar,Arenal
13052,13,052,Bolívar,Arjona
13062,13,062,Bolívar,Arroyohondo
13074,13,074,Bolívar,Barranco de Loba
13140,13,140,Bolívar,Calamar
13160,13,160,Bolívar,Cantagallo
13188,13,188,Bolívar,Cicuco
13212,13,212,Bolívar,Córdoba
13222,13,222,Bolívar,Clemencia
13244,13,244,Bolívar,Carmen de Bolívar
13248,13,248,Bolívar,El Guamo
13268,13,268,Bolívar,El Peñon
13300,13,300,Bolívar,Hatillo de Loba
13430,13,430,Bolívar,Magangué
13433,13,433,Bolívar,Mahates
13440,13,440,Bolívar,Margarita
13442,13,442,Bolívar,María la Baja
13458,13,458,Bolívar,Montecristo
13468,13,468,Bolívar,Mompós
13473,13,473,Bolívar,Morales
13549,13,549,Bolívar,Pinillos
13580,13,580,Bolívar,Regidor
13600,13,600,Bolívar,Río Viejo
13620,13,620,Bolívar,San Cristobal
13647,13,647,Bolívar,San Estanislao
13650,13,650,Bolívar,San Fernando
13654,13,654,Bolívar,San Jacinto
13655,13,655,Bolívar,San Jacinto del Cauca
